,Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
4549,2017,92602,18,9.5,18+,Orange
4550,2017,92603,15,10.0,18+,Orange
4551,2017,92604,26,10.7,18+,Orange
4552,2017,92606,30,16.5,18+,Orange
4553,2017,92612,31,11.8,18+,Orange
4554,2017,92614,28,15.5,18+,Orange
4555,2017,92618,43,17.0,18+,Orange
4556,2017,92620,30,8.0,18+,Orange
4557,2017,92626,98,22.8,18+,Orange
4558,2017,92627,132,25.7,18+,Orange
4559,2017,92629,33,16.2,18+,Orange
4560,2017,92630,67,12.8,18+,Orange
4561,2017,92637,35,26.7,18+,Orange
4562,2017,92646,98,21.8,18+,Orange
4563,2017,92647,131,28.0,18+,Orange
4564,2017,92648,77,19.5,18+,Orange
4565,2017,92649,47,16.8,18+,Orange
4566,2017,92651,39,22.1,18+,Orange
4567,2017,92653,55,25.3,18+,Orange
4568,2017,92655,31,46.5,18+,Orange
4569,2017,92656,63,16.1,18+,Orange
4570,2017,92660,32,9.9,18+,Orange
4571,2017,92663,27,16.1,18+,Orange
4572,2017,92672,41,14.0,18+,Orange
4573,2017,92673,16,7.5,18+,Orange
4574,2017,92675,39,13.6,18+,Orange
4575,2017,92677,51,9.7,18+,Orange
4576,2017,92679,29,12.1,18+,Orange
4577,2017,92683,150,20.1,18+,Orange
4578,2017,92688,43,11.8,18+,Orange
4579,2017,92691,72,19.4,18+,Orange
4580,2017,92692,49,13.2,18+,Orange
4581,2017,92694,19,12.5,18+,Orange
4582,2017,92701,136,39.0,18+,Orange
4583,2017,92703,130,25.3,18+,Orange
4584,2017,92704,183,27.0,18+,Orange
4585,2017,92705,55,17.0,18+,Orange
4586,2017,92706,79,27.1,18+,Orange
4587,2017,92707,141,28.5,18+,Orange
4588,2017,92708,84,18.8,18+,Orange
4589,2017,92780,86,20.2,18+,Orange
4590,2017,92782,27,12.9,18+,Orange
4591,2017,92801,178,36.6,18+,Orange
4592,2017,92802,102,29.7,18+,Orange
4593,2017,92804,214,31.6,18+,Orange
4594,2017,92805,217,39.6,18+,Orange
4595,2017,92806,105,33.6,18+,Orange
4596,2017,92807,69,25.9,18+,Orange
4597,2017,92808,17,12.2,18+,Orange
4598,2017,92821,59,18.4,18+,Orange
4599,2017,92831,76,25.1,18+,Orange
4600,2017,92832,57,26.5,18+,Orange
4601,2017,92833,65,15.3,18+,Orange
4602,2017,92835,46,26.5,18+,Orange
4603,2017,92840,103,24.7,18+,Orange
4604,2017,92841,59,22.6,18+,Orange
4605,2017,92843,109,31.6,18+,Orange
4606,2017,92844,26,13.4,18+,Orange
4607,2017,92845,22,16.4,18+,Orange
4608,2017,92860,37,18.1,18+,Riverside
4609,2017,92865,32,20.1,18+,Orange
4610,2017,92866,27,21.3,18+,Orange
4611,2017,92867,55,15.7,18+,Orange
4612,2017,92868,46,23.0,18+,Orange
4613,2017,92869,53,17.5,18+,Orange
4614,2017,92870,95,23.7,18+,Orange
4615,2017,92879,81,22.7,18+,Riverside
4616,2017,92880,85,17.2,18+,Riverside
4617,2017,92881,37,17.5,18+,Riverside
4618,2017,92882,147,28.8,18+,Riverside
4619,2017,92883,42,17.2,18+,Riverside
4620,2017,92886,46,12.7,18+,Orange
4621,2017,92887,23,16.1,18+,Orange
4622,2017,93001,92,34.2,18+,Ventura
4623,2017,93003,110,29.7,18+,Ventura
4624,2017,93004,50,21.8,18+,Ventura
4625,2017,93010,70,19.6,18+,Ventura
4626,2017,93012,38,14.6,18+,Ventura
4628,2017,93015,28,22.2,18+,Ventura
4629,2017,93021,57,20.4,18+,Ventura
4630,2017,93022,18,56.8,18+,Ventura
4631,2017,93023,79,52.9,18+,Ventura
4632,2017,93030,195,47.1,18+,Ventura
4633,2017,93033,161,27.8,18+,Ventura
4634,2017,93035,58,25.7,18+,Ventura
4635,2017,93036,81,23.4,18+,Ventura
4636,2017,93041,60,35.2,18+,Ventura
4637,2017,93060,73,29.2,18+,Ventura
4638,2017,93063,183,42.5,18+,Ventura
4639,2017,93065,174,32.1,18+,Ventura
4704,2017,93510,16,30.2,18+,Los Angeles
4707,2017,93534,368,124.2,18+,Los Angeles
4708,2017,93535,609,113.7,18+,Los Angeles
4709,2017,93536,206,35.3,18+,Los Angeles
4710,2017,93543,56,61.2,18+,Los Angeles
4712,2017,93550,456,80.4,18+,Los Angeles
4713,2017,93551,121,30.3,18+,Los Angeles
4714,2017,93552,150,50.6,18+,Los Angeles
4718,2017,93591,50,104.7,18+,Los Angeles
5206,2017,90001,411,67.9,All Ages,Los Angeles
5207,2017,90002,516,91.4,All Ages,Los Angeles
5208,2017,90003,686,92.3,All Ages,Los Angeles
5209,2017,90004,282,48.2,All Ages,Los Angeles
5210,2017,90005,135,36.4,All Ages,Los Angeles
5211,2017,90006,242,39.7,All Ages,Los Angeles
5212,2017,90007,148,39.8,All Ages,Los Angeles
5213,2017,90008,365,111.1,All Ages,Los Angeles
5214,2017,90011,688,59.6,All Ages,Los Angeles
5215,2017,90012,84,27.3,All Ages,Los Angeles
5216,2017,90013,147,87.5,All Ages,Los Angeles
5217,2017,90014,41,55.2,All Ages,Los Angeles
5218,2017,90015,128,65.3,All Ages,Los Angeles
5219,2017,90016,374,78.1,All Ages,Los Angeles
5220,2017,90017,155,53.7,All Ages,Los Angeles
5221,2017,90018,410,79.6,All Ages,Los Angeles
5222,2017,90019,337,53.3,All Ages,Los Angeles
5223,2017,90020,139,36.6,All Ages,Los Angeles
5224,2017,90021,41,110.6,All Ages,Los Angeles
5225,2017,90022,408,57.5,All Ages,Los Angeles
5226,2017,90023,269,51.5,All Ages,Los Angeles
5227,2017,90024,83,24.0,All Ages,Los Angeles
5228,2017,90025,68,17.5,All Ages,Los Angeles
5229,2017,90026,303,49.4,All Ages,Los Angeles
5230,2017,90027,147,39.9,All Ages,Los Angeles
5231,2017,90028,168,76.3,All Ages,Los Angeles
5232,2017,90029,182,48.5,All Ages,Los Angeles
5233,2017,90031,182,44.6,All Ages,Los Angeles
5234,2017,90032,250,51.8,All Ages,Los Angeles
5235,2017,90033,330,65.1,All Ages,Los Angeles
5236,2017,90034,149,27.7,All Ages,Los Angeles
5237,2017,90035,58,19.2,All Ages,Los Angeles
5238,2017,90036,95,27.1,All Ages,Los Angeles
5239,2017,90037,555,84.1,All Ages,Los Angeles
5240,2017,90038,137,48.2,All Ages,Los Angeles
5241,2017,90039,103,38.2,All Ages,Los Angeles
5242,2017,90040,71,55.3,All Ages,Los Angeles
5243,2017,90041,73,26.4,All Ages,Los Angeles
5244,2017,90042,231,36.7,All Ages,Los Angeles
5245,2017,90043,501,117.6,All Ages,Los Angeles
5246,2017,90044,990,100.8,All Ages,Los Angeles
5247,2017,90045,70,20.1,All Ages,Los Angeles
5248,2017,90046,78,19.2,All Ages,Los Angeles
5249,2017,90047,599,117.6,All Ages,Los Angeles
5250,2017,90048,47,27.3,All Ages,Los Angeles
5251,2017,90049,42,11.7,All Ages,Los Angeles
5252,2017,90056,48,83.8,All Ages,Los Angeles
5253,2017,90057,285,63.7,All Ages,Los Angeles
5254,2017,90058,34,90.5,All Ages,Los Angeles
5255,2017,90059,599,130.3,All Ages,Los Angeles
5256,2017,90061,405,130.6,All Ages,Los Angeles
5257,2017,90062,298,90.3,All Ages,Los Angeles
5258,2017,90063,269,45.4,All Ages,Los Angeles
5259,2017,90064,64,25.1,All Ages,Los Angeles
5260,2017,90065,214,46.0,All Ages,Los Angeles
5261,2017,90066,136,26.7,All Ages,Los Angeles
5262,2017,90068,31,15.2,All Ages,Los Angeles
5263,2017,90069,37,18.7,All Ages,Los Angeles
5264,2017,90094,14,16.2,All Ages,Los Angeles
5265,2017,90201,460,42.9,All Ages,Los Angeles
5266,2017,90210,20,8.4,All Ages,Los Angeles
5267,2017,90211,30,31.8,All Ages,Los Angeles
5268,2017,90212,25,21.4,All Ages,Los Angeles
5269,2017,90220,499,93.3,All Ages,Los Angeles
5270,2017,90221,452,76.3,All Ages,Los Angeles
5271,2017,90222,385,108.9,All Ages,Los Angeles
5272,2017,90230,118,38.2,All Ages,Los Angeles
5273,2017,90232,53,37.8,All Ages,Los Angeles
5274,2017,90240,90,36.6,All Ages,Los Angeles
5275,2017,90241,186,41.7,All Ages,Los Angeles
5276,2017,90242,155,33.9,All Ages,Los Angeles
5277,2017,90245,22,14.9,All Ages,Los Angeles
5278,2017,90247,319,67.7,All Ages,Los Angeles
5279,2017,90248,48,46.3,All Ages,Los Angeles
5280,2017,90249,177,63.1,All Ages,Los Angeles
5281,2017,90250,630,63.8,All Ages,Los Angeles
5282,2017,90254,30,17.8,All Ages,Los Angeles
5283,2017,90255,393,52.3,All Ages,Los Angeles
5284,2017,90260,205,55.8,All Ages,Los Angeles
5285,2017,90262,415,55.9,All Ages,Los Angeles
5286,2017,90265,12,6.4,All Ages,Los Angeles
5287,2017,90266,28,8.5,All Ages,Los Angeles
5288,2017,90270,125,44.0,All Ages,Los Angeles
5289,2017,90272,17,10.4,All Ages,Los Angeles
5290,2017,90274,28,13.9,All Ages,Los Angeles
5291,2017,90275,48,13.9,All Ages,Los Angeles
5292,2017,90277,44,13.3,All Ages,Los Angeles
5293,2017,90278,104,26.0,All Ages,Los Angeles
5294,2017,90280,444,46.3,All Ages,Los Angeles
5295,2017,90291,78,34.6,All Ages,Los Angeles
5296,2017,90292,51,19.9,All Ages,Los Angeles
5297,2017,90293,19,25.9,All Ages,Los Angeles
5298,2017,90301,284,73.3,All Ages,Los Angeles
5299,2017,90302,222,71.3,All Ages,Los Angeles
5300,2017,90303,200,75.9,All Ages,Los Angeles
5301,2017,90304,163,52.4,All Ages,Los Angeles
5302,2017,90305,87,71.6,All Ages,Los Angeles
5303,2017,90401,40,53.7,All Ages,Los Angeles
5304,2017,90402,14,10.8,All Ages,Los Angeles
5305,2017,90403,36,16.0,All Ages,Los Angeles
5306,2017,90404,104,51.8,All Ages,Los Angeles
5307,2017,90405,76,29.3,All Ages,Los Angeles
5308,2017,90501,214,48.9,All Ages,Los Angeles
5309,2017,90502,86,48.5,All Ages,Los Angeles
5310,2017,90503,86,20.3,All Ages,Los Angeles
5311,2017,90504,70,24.8,All Ages,Los Angeles
5312,2017,90505,89,26.9,All Ages,Los Angeles
5313,2017,90601,116,36.3,All Ages,Los Angeles
5314,2017,90602,155,59.5,All Ages,Los Angeles
5315,2017,90603,52,26.2,All Ages,Los Angeles
5316,2017,90604,157,38.4,All Ages,Los Angeles
5317,2017,90605,205,49.0,All Ages,Los Angeles
5318,2017,90606,150,45.2,All Ages,Los Angeles
5319,2017,90620,178,39.3,All Ages,Orange
5320,2017,90621,148,40.7,All Ages,Orange
5321,2017,90623,51,36.2,All Ages,Orange
5322,2017,90630,146,29.6,All Ages,Orange
5323,2017,90631,245,35.1,All Ages,Orange
5324,2017,90638,114,23.1,All Ages,Los Angeles
5325,2017,90640,278,44.1,All Ages,Los Angeles
5326,2017,90650,454,41.5,All Ages,Los Angeles
5327,2017,90660,308,47.2,All Ages,Los Angeles
5328,2017,90670,52,33.7,All Ages,Los Angeles
5329,2017,90680,134,40.1,All Ages,Orange
5330,2017,90701,56,36.9,All Ages,Los Angeles
5331,2017,90703,131,29.1,All Ages,Los Angeles
5332,2017,90704,12,32.4,All Ages,Los Angeles
5333,2017,90706,385,47.6,All Ages,Los Angeles
5334,2017,90710,120,47.6,All Ages,Los Angeles
5335,2017,90712,385,140.8,All Ages,Los Angeles
5336,2017,90713,90,35.0,All Ages,Los Angeles
5337,2017,90715,90,41.2,All Ages,Los Angeles
5338,2017,90716,68,45.7,All Ages,Los Angeles
5339,2017,90717,88,42.4,All Ages,Los Angeles
5340,2017,90720,54,27.6,All Ages,Orange
5341,2017,90723,273,46.8,All Ages,Los Angeles
5342,2017,90731,513,82.1,All Ages,Los Angeles
5343,2017,90732,57,29.8,All Ages,Los Angeles
5344,2017,90740,34,20.0,All Ages,Orange
5345,2017,90744,335,57.4,All Ages,Los Angeles
5346,2017,90745,334,58.2,All Ages,Los Angeles
5347,2017,90746,174,78.7,All Ages,Los Angeles
5348,2017,90755,41,33.9,All Ages,Los Angeles
5349,2017,90802,226,58.4,All Ages,Los Angeles
5350,2017,90803,48,16.5,All Ages,Los Angeles
5351,2017,90804,289,71.1,All Ages,Los Angeles
5352,2017,90805,710,72.0,All Ages,Los Angeles
5353,2017,90806,366,79.9,All Ages,Los Angeles
5354,2017,90807,135,44.0,All Ages,Los Angeles
5355,2017,90808,83,23.3,All Ages,Los Angeles
5356,2017,90810,247,63.7,All Ages,Los Angeles
5357,2017,90813,567,91.5,All Ages,Los Angeles
5358,2017,90814,49,29.1,All Ages,Los Angeles
5359,2017,90815,66,17.4,All Ages,Los Angeles
5360,2017,91001,115,33.5,All Ages,Los Angeles
5361,2017,91006,52,17.6,All Ages,Los Angeles
5362,2017,91007,40,14.3,All Ages,Los Angeles
5363,2017,91010,108,43.4,All Ages,Los Angeles
5364,2017,91011,20,13.1,All Ages,Los Angeles
5365,2017,91016,151,38.4,All Ages,Los Angeles
5366,2017,91020,18,22.6,All Ages,Los Angeles
5367,2017,91024,22,23.3,All Ages,Los Angeles
5368,2017,91030,40,17.1,All Ages,Los Angeles
5369,2017,91040,89,45.9,All Ages,Los Angeles
5370,2017,91042,67,25.4,All Ages,Los Angeles
5371,2017,91101,47,24.8,All Ages,Los Angeles
5372,2017,91103,133,45.5,All Ages,Los Angeles
5373,2017,91104,135,37.9,All Ages,Los Angeles
5374,2017,91105,26,24.9,All Ages,Los Angeles
5375,2017,91106,48,22.4,All Ages,Los Angeles
5376,2017,91107,69,22.6,All Ages,Los Angeles
5377,2017,91201,48,22.0,All Ages,Los Angeles
5378,2017,91202,58,29.2,All Ages,Los Angeles
5379,2017,91203,30,20.7,All Ages,Los Angeles
5380,2017,91204,80,45.0,All Ages,Los Angeles
5381,2017,91205,148,38.1,All Ages,Los Angeles
5382,2017,91206,99,30.1,All Ages,Los Angeles
5383,2017,91207,12,10.2,All Ages,Los Angeles
5384,2017,91208,49,34.4,All Ages,Los Angeles
5385,2017,91214,50,18.5,All Ages,Los Angeles
5386,2017,91301,26,10.8,All Ages,Los Angeles
5387,2017,91302,52,23.6,All Ages,Los Angeles
5388,2017,91303,185,64.3,All Ages,Los Angeles
5389,2017,91304,282,57.1,All Ages,Los Angeles
5390,2017,91306,278,61.2,All Ages,Los Angeles
5391,2017,91307,61,28.5,All Ages,Los Angeles
5392,2017,91311,167,48.0,All Ages,Los Angeles
5393,2017,91316,166,66.8,All Ages,Los Angeles
5394,2017,91320,73,17.5,All Ages,Ventura
5395,2017,91321,119,31.6,All Ages,Los Angeles
5396,2017,91324,155,58.3,All Ages,Los Angeles
5397,2017,91325,160,48.8,All Ages,Los Angeles
5398,2017,91326,73,21.5,All Ages,Los Angeles
5399,2017,91331,664,60.1,All Ages,Los Angeles
5400,2017,91335,466,61.8,All Ages,Los Angeles
5401,2017,91340,254,67.2,All Ages,Los Angeles
5402,2017,91342,463,47.9,All Ages,Los Angeles
5403,2017,91343,398,63.2,All Ages,Los Angeles
5404,2017,91344,198,40.3,All Ages,Los Angeles
5405,2017,91345,100,53.5,All Ages,Los Angeles
5406,2017,91350,97,25.8,All Ages,Los Angeles
5407,2017,91351,148,46.4,All Ages,Los Angeles
5408,2017,91352,286,57.6,All Ages,Los Angeles
5409,2017,91354,67,23.1,All Ages,Los Angeles
5410,2017,91355,79,23.2,All Ages,Los Angeles
5411,2017,91356,128,46.3,All Ages,Los Angeles
5412,2017,91360,71,17.7,All Ages,Ventura
5413,2017,91361,33,14.5,All Ages,Ventura
5414,2017,91362,57,16.2,All Ages,Ventura
5415,2017,91364,60,23.9,All Ages,Los Angeles
5416,2017,91367,101,25.7,All Ages,Los Angeles
5417,2017,91377,15,11.0,All Ages,Ventura
5418,2017,91381,32,17.0,All Ages,Los Angeles
5419,2017,91384,73,25.9,All Ages,Los Angeles
5420,2017,91387,182,41.8,All Ages,Los Angeles
5421,2017,91390,35,16.9,All Ages,Los Angeles
5422,2017,91401,208,49.5,All Ages,Los Angeles
5423,2017,91402,532,70.6,All Ages,Los Angeles
5424,2017,91403,59,23.9,All Ages,Los Angeles
5425,2017,91405,477,93.0,All Ages,Los Angeles
5426,2017,91406,294,54.6,All Ages,Los Angeles
5427,2017,91411,117,45.0,All Ages,Los Angeles
5428,2017,91423,72,26.2,All Ages,Los Angeles
5429,2017,91436,27,23.6,All Ages,Los Angeles
5430,2017,91501,60,30.6,All Ages,Los Angeles
5431,2017,91502,28,28.5,All Ages,Los Angeles
5432,2017,91504,79,34.3,All Ages,Los Angeles
5433,2017,91505,72,23.9,All Ages,Los Angeles
5434,2017,91506,57,31.6,All Ages,Los Angeles
5435,2017,91601,192,54.7,All Ages,Los Angeles
5436,2017,91602,47,28.2,All Ages,Los Angeles
5437,2017,91604,56,20.0,All Ages,Los Angeles
5438,2017,91605,327,57.6,All Ages,Los Angeles
5439,2017,91606,229,51.4,All Ages,Los Angeles
5440,2017,91607,70,24.0,All Ages,Los Angeles
5441,2017,91701,94,25.0,All Ages,San Bernardino
5442,2017,91702,397,63.5,All Ages,Los Angeles
5443,2017,91706,445,56.9,All Ages,Los Angeles
5444,2017,91708,33,54.8,All Ages,San Bernardino
5445,2017,91709,162,21.2,All Ages,San Bernardino
5446,2017,91710,274,33.0,All Ages,San Bernardino
5447,2017,91711,99,33.5,All Ages,Los Angeles
5448,2017,91722,195,53.4,All Ages,Los Angeles
5449,2017,91723,122,64.0,All Ages,Los Angeles
5450,2017,91724,93,36.1,All Ages,Los Angeles
5451,2017,91730,240,35.3,All Ages,San Bernardino
5452,2017,91731,160,54.0,All Ages,Los Angeles
5453,2017,91732,362,56.0,All Ages,Los Angeles
5454,2017,91733,252,51.8,All Ages,Los Angeles
5455,2017,91737,56,26.1,All Ages,San Bernardino
5456,2017,91739,71,18.0,All Ages,San Bernardino
5457,2017,91740,122,50.8,All Ages,Los Angeles
5458,2017,91741,85,36.7,All Ages,Los Angeles
5459,2017,91744,504,58.5,All Ages,Los Angeles
5460,2017,91745,169,34.5,All Ages,Los Angeles
5461,2017,91746,114,34.9,All Ages,Los Angeles
5462,2017,91748,79,17.9,All Ages,Los Angeles
5463,2017,91750,82,24.9,All Ages,Los Angeles
5464,2017,91752,112,31.1,All Ages,Riverside
5465,2017,91754,95,31.6,All Ages,Los Angeles
5466,2017,91755,46,20.0,All Ages,Los Angeles
5467,2017,91761,261,45.8,All Ages,San Bernardino
5468,2017,91762,314,50.9,All Ages,San Bernardino
5469,2017,91763,202,51.3,All Ages,San Bernardino
5470,2017,91764,341,57.0,All Ages,San Bernardino
5471,2017,91765,101,24.7,All Ages,Los Angeles
5472,2017,91766,464,58.5,All Ages,Los Angeles
5473,2017,91767,321,61.6,All Ages,Los Angeles
5474,2017,91768,242,74.2,All Ages,Los Angeles
5475,2017,91770,211,34.8,All Ages,Los Angeles
5476,2017,91773,123,40.8,All Ages,Los Angeles
5477,2017,91775,41,17.9,All Ages,Los Angeles
5478,2017,91776,124,36.3,All Ages,Los Angeles
5479,2017,91780,85,26.2,All Ages,Los Angeles
5480,2017,91784,48,20.6,All Ages,San Bernardino
5481,2017,91786,269,51.4,All Ages,San Bernardino
5482,2017,91789,91,25.1,All Ages,Los Angeles
5483,2017,91790,240,50.9,All Ages,Los Angeles
5484,2017,91791,125,37.9,All Ages,Los Angeles
5485,2017,91792,113,37.4,All Ages,Los Angeles
5486,2017,91801,138,27.9,All Ages,Los Angeles
5487,2017,91803,90,33.1,All Ages,Los Angeles
5488,2017,91901,32,19.5,All Ages,San Diego
5489,2017,91902,59,39.2,All Ages,San Diego
5490,2017,91906,16,40.5,All Ages,San Diego
5491,2017,91910,357,46.4,All Ages,San Diego
5492,2017,91911,394,44.8,All Ages,San Diego
5493,2017,91913,119,23.8,All Ages,San Diego
5494,2017,91914,32,17.7,All Ages,San Diego
5495,2017,91915,79,24.1,All Ages,San Diego
5496,2017,91932,132,49.4,All Ages,San Diego
5497,2017,91941,101,31.8,All Ages,San Diego
5498,2017,91942,140,37.3,All Ages,San Diego
5499,2017,91945,159,65.6,All Ages,San Diego
5500,2017,91950,392,64.1,All Ages,San Diego
5501,2017,91977,296,48.3,All Ages,San Diego
5502,2017,91978,37,40.7,All Ages,San Diego
5503,2017,92007,20,22.2,All Ages,San Diego
5504,2017,92008,48,19.0,All Ages,San Diego
5505,2017,92009,64,14.7,All Ages,San Diego
5506,2017,92010,23,15.3,All Ages,San Diego
5507,2017,92011,20,7.5,All Ages,San Diego
5508,2017,92019,95,22.8,All Ages,San Diego
5509,2017,92020,235,38.8,All Ages,San Diego
5510,2017,92021,282,42.0,All Ages,San Diego
5511,2017,92024,66,13.6,All Ages,San Diego
5512,2017,92025,172,33.0,All Ages,San Diego
5513,2017,92026,133,24.6,All Ages,San Diego
5514,2017,92027,171,29.1,All Ages,San Diego
5515,2017,92028,110,24.9,All Ages,San Diego
5516,2017,92029,40,22.7,All Ages,San Diego
5517,2017,92037,52,16.3,All Ages,San Diego
5518,2017,92040,139,34.1,All Ages,San Diego
5519,2017,92054,118,26.1,All Ages,San Diego
5520,2017,92056,110,21.0,All Ages,San Diego
5521,2017,92057,141,24.9,All Ages,San Diego
5522,2017,92058,81,27.2,All Ages,San Diego
5523,2017,92064,99,20.5,All Ages,San Diego
5524,2017,92065,75,21.3,All Ages,San Diego
5525,2017,92069,104,20.1,All Ages,San Diego
5526,2017,92071,165,30.0,All Ages,San Diego
5527,2017,92075,17,17.0,All Ages,San Diego
5528,2017,92078,67,14.0,All Ages,San Diego
5529,2017,92081,50,17.0,All Ages,San Diego
5530,2017,92082,51,25.6,All Ages,San Diego
5531,2017,92083,141,34.0,All Ages,San Diego
5532,2017,92084,129,25.2,All Ages,San Diego
5533,2017,92101,197,60.4,All Ages,San Diego
5534,2017,92102,282,60.4,All Ages,San Diego
5535,2017,92103,87,33.5,All Ages,San Diego
5536,2017,92104,177,39.7,All Ages,San Diego
5537,2017,92105,432,56.3,All Ages,San Diego
5538,2017,92106,37,18.7,All Ages,San Diego
5539,2017,92107,51,22.4,All Ages,San Diego
5540,2017,92108,60,41.2,All Ages,San Diego
5541,2017,92109,53,16.9,All Ages,San Diego
5542,2017,92110,79,33.9,All Ages,San Diego
5543,2017,92111,164,36.0,All Ages,San Diego
5544,2017,92113,466,85.5,All Ages,San Diego
5545,2017,92114,469,70.7,All Ages,San Diego
5546,2017,92115,294,54.4,All Ages,San Diego
5547,2017,92116,99,35.9,All Ages,San Diego
5548,2017,92117,153,33.5,All Ages,San Diego
5549,2017,92118,25,15.9,All Ages,San Diego
5550,2017,92119,65,31.0,All Ages,San Diego
5551,2017,92120,79,31.1,All Ages,San Diego
5552,2017,92122,60,17.2,All Ages,San Diego
5553,2017,92123,100,35.4,All Ages,San Diego
5554,2017,92124,81,25.3,All Ages,San Diego
5555,2017,92126,188,27.2,All Ages,San Diego
5556,2017,92127,76,15.6,All Ages,San Diego
5557,2017,92128,67,13.4,All Ages,San Diego
5558,2017,92129,113,22.2,All Ages,San Diego
5559,2017,92130,52,9.1,All Ages,San Diego
5560,2017,92131,36,11.1,All Ages,San Diego
5561,2017,92139,173,49.7,All Ages,San Diego
5562,2017,92154,324,37.5,All Ages,San Diego
5563,2017,92173,174,54.3,All Ages,San Diego
5564,2017,92201,325,47.5,All Ages,Riverside
5565,2017,92203,64,22.3,All Ages,Riverside
5566,2017,92211,57,46.3,All Ages,Riverside
5567,2017,92220,207,69.0,All Ages,Riverside
5568,2017,92223,241,47.3,All Ages,Riverside
5569,2017,92225,129,56.1,All Ages,Riverside
5571,2017,92230,49,160.4,All Ages,Riverside
5574,2017,92234,176,34.7,All Ages,Riverside
5575,2017,92236,211,44.6,All Ages,Riverside
5576,2017,92240,216,56.4,All Ages,Riverside
5577,2017,92241,40,56.7,All Ages,Riverside
5582,2017,92252,47,53.8,All Ages,San Bernardino
5583,2017,92253,78,24.3,All Ages,Riverside
5584,2017,92254,31,19.6,All Ages,Riverside
5585,2017,92256,30,94.1,All Ages,San Bernardino
5587,2017,92260,48,22.1,All Ages,Riverside
5588,2017,92262,118,44.7,All Ages,Riverside
5589,2017,92264,19,18.2,All Ages,Riverside
5590,2017,92270,25,24.2,All Ages,Riverside
5591,2017,92274,64,21.4,All Ages,Riverside
5592,2017,92276,27,42.3,All Ages,Riverside
5593,2017,92277,101,47.6,All Ages,San Bernardino
5595,2017,92284,111,45.3,All Ages,San Bernardino
5596,2017,92301,277,70.7,All Ages,San Bernardino
5597,2017,92307,257,68.7,All Ages,San Bernardino
5598,2017,92308,242,63.6,All Ages,San Bernardino
5599,2017,92311,483,147.3,All Ages,San Bernardino
5600,2017,92313,37,32.7,All Ages,San Bernardino
5601,2017,92314,51,47.5,All Ages,San Bernardino
5602,2017,92315,35,75.4,All Ages,San Bernardino
5603,2017,92316,191,57.0,All Ages,San Bernardino
5604,2017,92320,31,41.5,All Ages,Riverside
5605,2017,92324,394,63.3,All Ages,San Bernardino
5606,2017,92325,59,74.4,All Ages,San Bernardino
5607,2017,92335,518,46.7,All Ages,San Bernardino
5608,2017,92336,291,29.9,All Ages,San Bernardino
5609,2017,92337,144,34.5,All Ages,San Bernardino
5610,2017,92342,31,57.0,All Ages,San Bernardino
5611,2017,92344,96,43.9,All Ages,San Bernardino
5612,2017,92345,394,47.4,All Ages,San Bernardino
5613,2017,92346,209,36.9,All Ages,San Bernardino
5614,2017,92352,23,25.6,All Ages,San Bernardino
5615,2017,92354,71,34.1,All Ages,San Bernardino
5616,2017,92356,32,57.4,All Ages,San Bernardino
5617,2017,92359,37,46.6,All Ages,San Bernardino
5618,2017,92363,38,84.2,All Ages,San Bernardino
5619,2017,92371,55,33.2,All Ages,San Bernardino
5620,2017,92372,15,35.1,All Ages,San Bernardino
5621,2017,92373,94,31.6,All Ages,San Bernardino
5622,2017,92374,202,47.1,All Ages,San Bernardino
5623,2017,92376,501,59.3,All Ages,San Bernardino
5624,2017,92377,73,35.1,All Ages,San Bernardino
5625,2017,92382,33,72.1,All Ages,San Bernardino
5626,2017,92386,19,103.3,All Ages,San Bernardino
5627,2017,92392,413,69.2,All Ages,San Bernardino
5628,2017,92394,274,67.6,All Ages,San Bernardino
5629,2017,92395,383,85.1,All Ages,San Bernardino
5630,2017,92397,17,30.6,All Ages,San Bernardino
5631,2017,92399,166,31.1,All Ages,San Bernardino
5632,2017,92401,41,234.0,All Ages,San Bernardino
5633,2017,92404,623,100.0,All Ages,San Bernardino
5634,2017,92405,293,88.2,All Ages,San Bernardino
5635,2017,92407,319,49.9,All Ages,San Bernardino
5636,2017,92408,79,46.5,All Ages,San Bernardino
5637,2017,92410,477,86.9,All Ages,San Bernardino
5638,2017,92411,311,111.1,All Ages,San Bernardino
5639,2017,92501,147,65.8,All Ages,Riverside
5640,2017,92503,530,56.1,All Ages,Riverside
5641,2017,92504,280,49.3,All Ages,Riverside
5642,2017,92505,284,56.4,All Ages,Riverside
5643,2017,92506,190,46.8,All Ages,Riverside
5644,2017,92507,259,50.9,All Ages,Riverside
5645,2017,92508,72,19.9,All Ages,Riverside
5646,2017,92509,359,43.3,All Ages,Riverside
5647,2017,92530,296,52.9,All Ages,Riverside
5648,2017,92532,76,30.0,All Ages,Riverside
5649,2017,92536,16,46.2,All Ages,Riverside
5650,2017,92543,294,91.5,All Ages,Riverside
5651,2017,92544,289,62.5,All Ages,Riverside
5652,2017,92545,189,49.1,All Ages,Riverside
5653,2017,92548,36,50.8,All Ages,Riverside
5654,2017,92551,237,72.3,All Ages,Riverside
5655,2017,92553,498,63.5,All Ages,Riverside
5656,2017,92555,209,47.1,All Ages,Riverside
5657,2017,92557,269,52.2,All Ages,Riverside
